,Gene,Spearman_r,P_value,FDR
20597,HECW1,-0.6529,0.006102,0.5655036345177664
797,SNORD62A,-0.652,0.006206,0.5655036345177664
28767,SOWAHD,-0.65,0.006416,0.5655036345177664
10284,lnc-FOXD4L3-4,-0.65,0.006416,0.5655036345177664
3337,LOC102725470,-0.65,0.006416,0.5655036345177664
27460,UBE2G2,-0.65,0.006416,0.5655036345177664
21367,ANXA6,0.65,0.006416,0.5655036345177664
16408,EXT2,0.65,0.006416,0.5655036345177664
15361,ADAMTS7,-0.65,0.006416,0.5655036345177664
6935,OACYLP,0.65,0.006416,0.5655036345177664
21126,GPR173,-0.65,0.006416,0.5655036345177664
19072,PPP2R2B,0.65,0.006416,0.5655036345177664
21001,RNF175,-0.65,0.006416,0.5655036345177664
32235,PARP15,0.65,0.006416,0.5655036345177664
26314,TMEM97,0.65,0.006416,0.5655036345177664
22551,ZNF48,0.65,0.006416,0.5655036345177664
33664,MRPL4,0.65,0.006416,0.5655036345177664
17397,SCAMP5,0.65,0.006416,0.5655036345177664
1489,LOC101929147,0.65,0.006416,0.5655036345177664
23007,GKN1,-0.65,0.006416,0.5655036345177664
15053,ACO2,0.65,0.006416,0.5655036345177664
24805,PRRT3,0.65,0.006416,0.5655036345177664
16377,NR4A2,0.6471,0.006742,0.5724436039119805
32009,KIAA1161,-0.6471,0.006742,0.5724436039119805
33832,PLIN4,-0.6471,0.006742,0.5724436039119805
7502,XLOC_l2_012150,0.6471,0.006742,0.5724436039119805
10193,lnc-FAM91A1-1,-0.6471,0.006742,0.5724436039119805
19443,ZNF488,-0.6471,0.006742,0.5724436039119805
19610,RECQL,0.6471,0.006742,0.5724436039119805
26913,GPR82,-0.6471,0.006742,0.5724436039119805
27728,CTSW,0.6471,0.006742,0.5724436039119805
15241,CHST6,-0.6471,0.006742,0.5724436039119805
23505,DCPS,0.6471,0.006742,0.5724436039119805
24783,GART,0.6471,0.006742,0.5724436039119805
30019,EPS8L1,0.6471,0.006742,0.5724436039119805
28649,EOMES,0.6471,0.006742,0.5724436039119805
15154,ME3,0.6471,0.006742,0.5724436039119805
23831,RINT1,0.6441,0.007082,0.57625115625
33249,NBPF12,-0.6441,0.007082,0.57625115625
18270,EBP,0.6441,0.007082,0.57625115625
19362,GRAMD3,0.6441,0.007082,0.57625115625
20308,TNFRSF21,0.6441,0.007082,0.57625115625
13269,lnc-TRAPPC8-1,0.6441,0.007082,0.57625115625
20475,RNF126,0.6441,0.007082,0.57625115625
20158,TLR3,0.6441,0.007082,0.57625115625
26556,ITIH5,-0.6441,0.007082,0.57625115625
18595,MTA2,0.6441,0.007082,0.57625115625
27484,LRBA,0.6441,0.007082,0.57625115625
20873,NBAS,0.6441,0.007082,0.57625115625
16385,NDUFS1,0.6441,0.007082,0.57625115625
32967,CSF1,-0.6441,0.007082,0.57625115625
19010,PTPN23,0.6441,0.007082,0.57625115625
7500,XLOC_l2_012135,-0.6441,0.007082,0.57625115625
4082,lnc-PRPS1-1,-0.6441,0.007082,0.57625115625
2519,lnc-RBPJ-1,-0.6412,0.007434,0.57625115625
87,lnc-AC114947.1.1-2,0.6412,0.007434,0.57625115625
24013,MTMR2,0.6412,0.007434,0.57625115625
28168,KRTAP12-1,-0.6412,0.007434,0.57625115625
22557,TIMM50,0.6412,0.007434,0.57625115625
34036,ACER2,-0.6412,0.007434,0.57625115625
15974,CALU,0.6412,0.007434,0.57625115625
31915,HOXC4,0.6412,0.007434,0.57625115625
28059,MRPS12,0.6412,0.007434,0.57625115625
